id,path,color,createdBy,sceneId,createdAt
client-1747226478953-expjtlygf,"M398,561 L400,561 L403,561 L407,561 L413,561 L424,559 L436,558 L455,556 L479,551 L505,547 L534,542 L561,536 L585,530 L605,523 L620,515 L631,507 L640,499 L646,492 L651,483 L654,476 L656,469 L657,462 L657,456 L655,449 L650,444 L640,439 L626,437 L613,436 L599,436 L582,437 L565,442 L553,448 L545,454 L540,462 L538,469 L538,473 L538,477 L539,481 L542,484 L544,485 L545,487 L546,488 L548,488 L549,488 L551,488 L553,488 L556,488 L560,486 L563,484 L566,482 L570,479 L572,477 L575,475 L577,472 L579,470 L581,469 L582,467 L583,467",#000000,5,9,2025-05-14T12:41:18.953Z
client-1747226480641-fiv6srdry,"M720,522 L721,522 L722,522 L723,521 L726,520 L730,517 L736,513 L745,508 L757,502 L773,495 L792,485 L810,475 L829,463 L845,452 L862,440 L877,428 L887,419 L894,409 L900,402 L904,396 L905,391 L907,389 L908,387 L908,386 L908,385 L908,384 L907,384 L903,383 L895,382 L884,382 L871,382 L856,385 L837,391 L814,400 L797,407 L787,411 L782,413 L781,413 L780,414 L780,415 L784,415 L792,414 L805,411 L820,409 L833,406 L846,402 L858,398 L866,394 L871,390 L873,388 L874,386 L875,386 L875,385 L873,385 L867,385 L857,385 L848,385 L840,386 L835,387 L833,388 L832,389 L833,389 L837,389 L845,388 L855,388 L869,387 L882,387 L894,387 L905,387 L913,387 L918,386",#000000,5,9,2025-05-14T12:41:20.641Z
client-1747226485001-bn0pdjted,"M445,510 L445,510",#000000,0,9,2025-05-14T12:41:25.001Z
client-1747226485617-8ffejxih9,"M443,504",#000000,0,9,2025-05-14T12:41:25.617Z
client-1747226487297-d850wvg7h,"M23,23",#000000,0,9,2025-05-14T12:41:27.297Z
client-1747226624236-vde3h2bod,"M222,425 L223,425 L225,425 L228,425 L232,425 L236,425 L243,425 L252,424 L265,423 L278,423 L291,421 L303,420 L316,419 L328,418 L339,416 L349,415 L357,413 L364,412 L368,411 L371,410 L373,410 L374,409 L375,409 L374,409 L369,409 L360,411 L349,413 L336,416 L322,422 L309,428 L297,435 L287,441 L279,447 L274,452 L272,454 L271,455 L269,456 L269,457 L268,457 L268,458 L268,460 L268,461 L268,463 L268,465 L268,467 L269,470 L271,472 L274,474 L280,476 L287,478 L294,480 L300,480 L305,481 L308,482 L309,482 L310,482 L311,482 L311,483 L312,485 L312,488 L312,492 L311,495 L308,500 L304,503 L300,507 L296,511 L291,516 L286,520 L284,522 L282,524 L282,525 L281,526 L281,527 L282,527 L284,527 L285,527 L286,527 L287,527 L288,527",#000000,0,9,2025-05-14T12:43:44.236Z
client-1747226736512-kgybypcef,"M207,315 L208,316 L208,317 L209,317 L211,317 L213,317 L217,317 L224,317 L236,318 L251,319 L271,321 L300,324 L333,327 L370,332 L412,340 L455,347 L492,354 L526,361 L553,366 L568,368 L576,369 L579,370 L581,370 L582,370 L583,370 L582,371 L577,372 L567,372 L552,373 L533,374 L513,377 L492,381 L473,387 L460,391 L452,395 L447,398 L445,400 L444,400 L443,401 L443,402 L444,403 L446,406 L448,408 L452,412 L458,416 L467,420 L476,424 L490,429 L509,433 L530,437 L548,440 L561,442 L571,444 L576,445 L578,445 L580,445",#00FFFF,5,9,2025-05-14T12:45:36.512Z
client-1747226739015-9r761n59e,"M197,353 L198,353 L199,354 L200,354 L200,355 L201,355 L203,355 L204,356 L205,357 L208,357 L212,358 L217,360 L227,361 L239,363 L258,366 L281,369 L310,373 L339,378 L368,383 L393,386 L417,389 L432,391 L445,393 L455,394 L460,394 L463,394 L464,394 L466,394 L466,395 L464,397 L459,399 L453,405 L446,410 L438,416 L431,423 L425,429 L420,436 L417,442 L416,446 L415,450 L415,453 L415,455 L415,457 L416,458 L417,460 L418,461 L420,462 L421,462 L422,463 L424,464 L426,465 L428,465 L429,465 L431,465 L432,465 L433,465 L434,465 L436,465 L439,465 L441,464 L443,464 L444,464 L446,464 L448,464 L449,464",#000000,0,9,2025-05-14T12:45:39.015Z
client-1747227003173-0jagn8pnp,"M657,670 L657,670 L658,670 L659,670 L662,670 L665,670 L669,670 L751,652 L772,643 L794,634 L815,624 L866,582 L866,580 L866,579 L866,577 L866,576 L863,576 L858,576 L847,580 L829,588 L803,598 L773,610 L742,621 L713,637 L694,650 L684,660 L678,668 L677,672 L677,674 L677,676 L678,676 L679,678 L681,678 L683,678 L688,678 L693,677 L703,675 L715,671 L729,667 L746,660 L763,653 L784,645 L801,637 L817,629 L828,622 L836,617 L842,614 L846,612 L847,611 L848,611 L848,610",#00FFFF,5,9,2025-05-14T12:50:03.173Z
client-1747227065272-6e6m6bft1,"M342,686 L342,686 L343,686 L345,686 L348,686 L351,686 L356,686 L362,686 L369,685 L376,683 L383,682 L390,680 L398,679 L406,677 L414,676 L422,674 L429,673 L435,671 L441,669 L448,667 L455,665 L462,662 L471,658 L479,653 L486,650 L493,646 L499,643 L505,640 L510,637 L514,636 L518,634 L520,633 L521,633 L522,632 L523,631 L525,631 L526,629 L527,628 L531,626 L534,623 L539,619 L542,616 L546,614 L548,611 L550,610 L551,610 L552,610",#00FFFF,5,9,2025-05-14T12:51:05.272Z
client-1747227553923-kpflifunv,"M145,485 L146,485 L146,486 L146,487 L148,487 L149,487 L151,488 L154,489 L157,490 L163,490 L170,490 L178,490 L187,490 L196,490 L207,490 L219,490 L231,490 L243,490 L255,488 L264,486 L273,485 L278,483 L283,480 L287,478 L290,475 L293,472 L294,467 L296,460 L297,452 L298,442 L300,430 L300,419 L299,405 L296,392 L290,379 L283,371 L273,364 L264,361 L256,360 L248,360 L240,360 L234,363 L231,366 L223,385 L223,392 L223,397 L223,402 L223,405 L224,408 L227,411 L228,414 L231,416 L233,417 L235,418 L237,419 L240,420 L244,420 L250,420 L257,420 L264,419 L269,418 L275,417 L278,416 L279,415 L281,415",#000000,0,6,2025-05-14T12:59:13.923Z
client-1747227557563-z5zgy7laz,"M294,354 L295,354 L296,354 L298,355 L303,357 L310,360 L319,364 L332,370 L348,377 L374,389 L407,403 L449,420 L498,437 L545,455 L591,470 L638,486 L679,499 L714,511 L742,519 L759,526 L771,531 L780,534 L787,536 L790,536 L792,537 L793,537 L795,537 L796,537",#000000,5,6,2025-05-14T12:59:17.563Z
client-1747227559459-jw8f12xto,"M821,240 L822,240 L815,251 L806,258 L796,266 L786,274 L773,283 L759,294 L742,305 L731,313 L721,319 L712,326 L705,331 L699,336 L693,341 L688,345 L685,348 L682,351 L680,353 L679,355 L678,356 L677,357 L676,358 L675,358 L675,359 L675,360 L674,360 L674,361",#000000,5,6,2025-05-14T12:59:19.459Z
client-1747227737030-pj94vkizz,"M342,165 L346,165 L349,164 L352,162 L356,160 L359,160 L364,158 L370,156 L378,154 L388,151 L400,148 L413,146 L428,144 L446,141 L464,139 L482,136 L499,135 L520,132 L535,130 L550,127 L564,126 L577,124 L588,123 L596,122 L603,121 L608,120 L611,119 L614,119 L615,119 L616,119 L617,119",#000000,5,6,2025-05-14T13:02:17.030Z
client-1747227739935-xigssxv2g,"M229,139 L231,139 L232,139 L234,139 L235,139 L237,139 L240,138 L245,135 L251,132 L258,128 L268,124 L279,119 L292,116 L305,112 L320,107 L337,102 L356,96 L373,91 L386,88 L411,79 L423,75 L434,71 L444,68 L453,66 L460,64 L466,62 L470,61 L473,60 L474,59 L475,59 L476,59 L477,58",#000000,0,6,2025-05-14T13:02:19.935Z
client-1747227746054-cfxsmn9mh,"M778,132",#000000,0,6,2025-05-14T13:02:26.054Z
client-1747227748455-rqhd2wdsv,"M841,35 L840,35 L839,35 L838,35 L836,36 L835,37 L834,38 L830,39 L825,41 L819,43 L812,45 L803,47 L795,48 L788,49 L782,50 L777,50 L774,50 L772,50 L771,50 L770,50",#000000,0,6,2025-05-14T13:02:28.455Z
client-1747227804391-asyq5q9fs,"M469,566 L470,566 L472,566 L474,566 L479,566 L488,566 L505,566 L530,563 L565,558 L602,551 L644,541 L693,530 L744,516 L793,500 L840,483 L884,466 L926,447 L963,426 L993,407 L1018,387 L1038,368 L1051,351 L1058,341 L1061,331 L1063,324 L1064,316 L1065,309 L1066,302 L1066,294 L1064,286 L1055,278 L1036,269 L1004,259 L969,252 L930,248 L889,248 L843,251 L795,259 L749,270 L708,285 L671,301 L640,319 L618,335 L605,346 L599,356 L597,363 L597,370 L597,375 L600,380 L605,384 L612,387 L621,389 L629,391 L635,393 L639,395 L642,396 L645,396 L646,397 L647,398 L649,398 L652,398 L655,398 L661,398 L666,398 L673,398 L679,398 L686,398 L693,397 L701,396 L707,395 L713,395 L716,395 L719,394 L721,393 L722,393 L723,393",#000000,5,6,2025-05-14T13:03:24.391Z
client-1747227943540-v6n0nnzhv,"M266,222 L268,221 L269,221 L271,220 L271,219 L273,218 L274,217 L276,215 L278,212 L280,210 L284,207 L288,204 L294,200 L300,198 L306,195 L312,192 L319,189 L328,185 L336,182 L346,179 L354,176 L362,174 L370,171 L377,168 L385,165 L393,161 L401,158 L408,155 L414,153 L418,152 L421,150 L425,148 L429,147 L434,146 L439,145 L446,144 L454,143 L461,142 L469,140 L476,138 L483,137 L489,136 L492,134 L495,132 L499,132 L501,131 L503,130 L505,129 L507,128 L510,126 L512,125 L515,123 L517,123 L519,121 L521,120 L522,120 L524,118 L527,117 L529,115 L531,114 L533,112 L534,111 L536,109 L538,109 L540,107 L541,107 L542,106 L542,105 L543,105 L544,104 L545,103 L545,102 L546,101 L546,100 L547,100 L548,100 L548,99 L549,98 L549,97 L550,97 L550,96 L550,95 L551,95 L551,94 L552,93 L553,92 L554,91 L556,89 L556,88 L557,88 L557,87 L558,87 L558,86 L559,85 L559,84 L560,84",#000000,0,6,2025-05-14T13:05:43.540Z
client-1747227952580-wsjby1uny,"M215,527 L216,527 L217,527 L218,527 L219,527 L220,527 L223,528 L226,528 L231,530 L240,532 L249,536 L262,539 L279,543 L301,548 L327,555 L354,561 L378,565 L402,570 L423,574 L441,578 L459,581 L474,582 L487,583 L498,584 L509,585 L518,586 L525,586 L530,586 L534,587 L537,587 L538,587 L539,587 L540,587 L541,587 L542,587 L543,587 L544,587 L545,587 L546,587 L547,587",#000000,5,6,2025-05-14T13:05:52.580Z
client-1747227954756-q4uym3nwh,"M425,255 L427,255 L449,243 L458,237 L469,229 L484,221 L503,209 L524,197 L548,183 L569,169 L591,155 L613,141 L634,129 L655,117 L671,107 L684,100 L694,95 L701,91 L706,87 L711,84 L713,82 L714,81 L716,80",#000000,5,6,2025-05-14T13:05:54.756Z
